Name,latitude,longitude
Mezhdunarodnaya (Moscow Metro),55.7483,37.5339
Michurinsky Prospekt (Kalininsko–Solntsevskaya line),55.689444,37.485
Minskaya (Moscow Metro),55.7246,37.497
Mitino (Moscow Metro),55.8457,37.3622
Mnyovniki (Moscow Metro),55.76,37.4708
Molodyozhnaya (Moscow Metro),55.7408,37.4168
Myakinino (Moscow Metro),55.8252,37.3852
Nagatinskaya,55.683,37.6224
Nagornaya (Moscow Metro),55.6724,37.6104
Nakhimovsky Prospekt (Moscow Metro),55.6627,37.6055
Narodnoye Opolcheniye (Moscow Metro),55.7753,37.4844
Nekrasovka (Moscow Metro),55.703611,37.926388
Nizhegorodskaya (Moscow Central Circle),55.7321,37.7281
Nizhegorodskaya (Moscow Metro),55.7325,37.728611
Novogireyevo (Moscow Metro),55.7517,37.8166
Novokhokhlovskaya (Moscow Central Circle),55.7243,37.7173
Novokosino (Moscow Metro),55.7451,37.8638
Novokuznetskaya,55.7415,37.6295
Novoperedelkino,55.639167,37.354444
Novoslobodskaya,55.7799,37.6028
Novoyasenevskaya (Moscow Metro),55.601,37.5541
Novye Cheryomushki (Moscow Metro),55.6702,37.5544
Okhotny Ryad (Moscow Metro),55.7577,37.6166
Okruzhnaya (Moscow Central Circle),55.8489,37.5711
Okskaya,55.718611,37.781666
Oktyabrskaya (Kaluzhsko–Rizhskaya line),55.7306,37.6112
Oktyabrskaya (Koltsevaya line),55.7297,37.6091
Oktyabrskoye Pole,55.7935,37.4935
Orekhovo (Moscow Metro),55.6132,37.6949
Otradnoye (Moscow Metro),55.8633,37.6047
Ozyornaya (Moscow Metro),55.670448,37.449525
Panfilovskaya (Moscow Central Circle),55.7991,37.4988
Park Kultury (Koltsevaya line),55.7357,37.5915
Park Kultury (Sokolnicheskaya line),55.7356,37.5943
Park Pobedy (Moscow Metro),55.7362,37.5182
Partizanskaya (Moscow Metro),55.7886,37.7506
Paveletskaya (Koltsevaya line),55.7318,37.6379
Paveletskaya (Zamoskvoretskaya line),55.7305,37.6377
Pechatniki (Lyublinsko–Dmitrovskaya line),55.6934,37.727
Perovo (Moscow Metro),55.7511,37.7866
Pervomayskaya (Moscow Metro),55.7948,37.7993
Pervomayskaya (closed),55.7894,37.7742
Petrovsko-Razumovskaya (Moscow Metro),55.8351,37.5745
Petrovsky Park (Moscow Metro),55.7925,37.5578
Pionerskaya (Moscow Metro),55.736,37.4671
Planernaya (Moscow Metro),55.8607,37.4364
Ploshchad Gagarina (Moscow Central Circle),55.7071,37.5858
Ploshchad Ilyicha,55.7472,37.6824
Ploshchad Revolyutsii (Moscow Metro),55.7566,37.6216
Polezhayevskaya,55.7775,37.5192
Polyanka (Moscow Metro),55.7379,37.618
Prazhskaya,55.6124,37.6044
Preobrazhenskaya Ploshchad,55.7963,37.7151
Profsoyuznaya (Moscow Metro),55.678,37.5627
Proletarskaya (Moscow Metro),55.7319,37.6659
Prospekt Mira (Kaluzhsko–Rizhskaya line),55.7812,37.6318
Prospekt Mira (Koltsevaya line),55.7798,37.6318
Prospekt Vernadskogo (Sokolnicheskaya line),55.6771,37.506
Pushkinskaya (Moscow Metro),55.765,37.6079
Pyatnitskoye Shosse,55.8563,37.3544
Ramenki (Moscow Metro),55.6975,37.4984
Rasskazovka,55.633,37.3328
Rechnoy Vokzal (Moscow Metro),55.8549,37.4761
Rimskaya,55.7463,37.6819
Rizhskaya (Kaluzhsko–Rizhskaya line),55.7936,37.6362
Rostokino (Moscow Central Circle),55.8395,37.6676
Rumyantsevo (Moscow Metro),55.633,37.4419
Ryazansky Prospekt,55.717,37.7933
Salaryevo (Moscow Metro),55.6227,37.424
Savyolovskaya (Bolshaya Koltsevaya line),55.7934,37.587
Savyolovskaya (Serpukhovsko–Timiryazevskaya line),55.7927,37.5885
Seligerskaya,55.865,37.548333
Semyonovskaya (Moscow Metro),55.7833,37.7208
Serpukhovskaya,55.728,37.6246
Sevastopolskaya (Moscow Metro),55.6524,37.5984
Shabolovskaya (Moscow Metro),55.7198,37.6083
Shchukinskaya,55.8086,37.4641
Shchyolkovskaya,55.8094,37.7986
Shelepikha (Bolshaya Koltsevaya line),55.7574,37.524
Shelepikha (Moscow Central Circle),55.7564,37.5263
Shipilovskaya,55.6211,37.7437
Shosse Entuziastov (Moscow Central Circle),55.7589,37.7463
Shosse Entuziastov (Moscow Metro),55.7576,37.75
Skhodnenskaya,55.8505,37.4396
Slavyansky Bulvar,55.7296,37.4706
Smolenskaya (Arbatsko–Pokrovskaya line),55.7474,37.5823
Smolenskaya (Filyovskaya line),55.7488,37.5825
Sokol (Moscow Metro),55.8051,37.5153
Sokolinaya Gora (Moscow Central Circle),55.7714,37.7451
Sokolniki (Sokolnicheskaya line),55.7888,37.6802
Solntsevo (Moscow Metro),55.6497,37.3911
Spartak (Moscow Metro),55.8182,37.4352
Sportivnaya (Moscow Metro),55.7233,37.5639
Sretensky Bulvar,55.7668,37.6392
Stakhanovskaya,55.725,37.761944
Streshnevo (Moscow Central Circle),55.8137,37.487
