,Name,latitude,longitude
1,Moscow State University,55.70398928883046, 37.52864814105603
2,National Research University Higher School of Economics,55.76149419934732, 37.633350300582094
3,Russian Presidential Academy of National Economy and Public Administration,55.66511693190384, 37.47930525454664
4,RUDN University,55.65053734141311, 37.502059500578554
5,National Research Nuclear University MEPI,55.65026561726888, 37.66439562941452
6,Finance Academy under the Government of the Russian Federation,55.800993484077296, 37.526738229419415
7,Moscow Institute of Physics and Technology,55.92977236372296, 37.519889754555386
8,Moscow State Institute of International Relations,55.67293933381343, 37.48457606803889
9,Bauman Moscow State Technical University,55.766101559960724, 37.68505331407413
10,Moscow Medical Academy,55.732994339372695, 37.57195702296041
11,Plekhanov Russian University of Economics,55.72782412268011, 37.62740034290903
12,Russian State University for the Humanities,55.777042155225544, 37.59536612571431
13,Synergy University,55.81104822773042, 37.51043368523962
14,"National University of Science and Technology ""MISIS""",55.72845324565786, 37.60909932135558
15,Moscow Aviation Institute,55.81102725660273, 37.49992552386321
